Fecha,Cine,Tipo_Sala,Cantidad_Boletos,Total_Venta,Cliente_ID
3/1/2025,Cinépolis Paseo Villalta,Tradicional,3,240,6892
3/1/2025,Cinépolis VIP Sendero Saltillo,VIP,2,328,7184
3/1/2025,Cinépolis VIP Paseo Villalta,VIP,1,164,4104
3/1/2025,Cinépolis Sendero Saltillo Sur,Tradicional,5,400,3731
3/1/2025,Cinépolis Sendero Saltillo Sur,Tradicional,3,240,6056
3/1/2025,Cinépolis Paseo Villalta,Tradicional,5,400,9110
3/1/2025,Cinépolis Sendero Saltillo Sur,Tradicional,3,240,4840
3/1/2025,Cinépolis La Nogalera,Tradicional,2,160,1502
3/1/2025,Cinépolis Sendero Saltillo Sur,Tradicional,3,240,5488
3/1/2025,Cinépolis VIP Sendero Saltillo,VIP,2,328,8035
3/1/2025,Cinépolis La Nogalera,Tradicional,3,240,1863
3/1/2025,Cinépolis Sendero Saltillo,Tradicional,4,320,6116
3/1/2025,Cinépolis VIP Paseo Villalta,VIP,5,820,8574
3/1/2025,Cinépolis La Nogalera,Tradicional,3,240,5636
3/1/2025,Cinépolis VIP Paseo Villalta,VIP,5,820,4157
3/1/2025,Cinépolis VIP Paseo Villalta,VIP,2,328,3693
3/1/2025,Cinépolis VIP Paseo Villalta,VIP,4,656,4627
3/1/2025,Cinépolis VIP Paseo Villalta,VIP,3,492,2663
3/1/2025,Cinépolis VIP Sendero Saltillo,VIP,4,656,6592
3/1/2025,Cinépolis Sendero Saltillo Sur,Tradicional,1,80,2306
3/1/2025,Cinépolis Sendero Saltillo Sur,Tradicional,1,80,6864
3/1/2025,Cinépolis Paseo Villalta,Tradicional,3,240,5413
3/1/2025,Cinépolis La Nogalera,Tradicional,1,80,1663
3/1/2025,Cinépolis Paseo Villalta,Tradicional,1,80,4763
3/1/2025,Cinépolis Sendero Saltillo,Tradicional,1,80,7585
3/1/2025,Cinépolis VIP Paseo Villalta,VIP,4,656,4581
3/1/2025,Cinépolis VIP Sendero Saltillo,VIP,3,492,8280
3/1/2025,Cinépolis La Nogalera,Tradicional,1,80,1698
3/1/2025,Cinépolis Sendero Saltillo,Tradicional,2,160,5737
3/1/2025,Cinépolis VIP Paseo Villalta,VIP,5,820,6855
3/1/2025,Cinépolis Sendero Saltillo,Tradicional,1,80,6249
3/1/2025,Cinépolis La Nogalera,Tradicional,4,320,6791
3/1/2025,Cinépolis Sendero Saltillo Sur,Tradicional,4,320,4510
3/1/2025,Cinépolis Paseo Villalta,Tradicional,3,240,9958
3/1/2025,Cinépolis Sendero Saltillo Sur,Tradicional,5,400,3931
3/1/2025,Cinépolis VIP Sendero Saltillo,VIP,3,492,7287
3/1/2025,Cinépolis Sendero Saltillo,Tradicional,1,80,5282
3/1/2025,Cinépolis Sendero Saltillo Sur,Tradicional,5,400,1659
3/1/2025,Cinépolis VIP Paseo Villalta,VIP,3,492,7546
3/1/2025,Cinépolis VIP Sendero Saltillo,VIP,3,492,9338
3/1/2025,Cinépolis VIP Paseo Villalta,VIP,4,656,9680
3/1/2025,Cinépolis Sendero Saltillo,Tradicional,2,160,5736
3/1/2025,Cinépolis Paseo Villalta,Tradicional,4,320,9120
3/1/2025,Cinépolis Sendero Saltillo,Tradicional,2,160,6534
3/1/2025,Cinépolis Sendero Saltillo Sur,Tradicional,2,160,1262
3/1/2025,Cinépolis VIP Paseo Villalta,VIP,2,328,9815
3/1/2025,Cinépolis Sendero Saltillo,Tradicional,4,320,3049
3/1/2025,Cinépolis Sendero Saltillo,Tradicional,4,320,5548
3/1/2025,Cinépolis La Nogalera,Tradicional,3,240,8158
3/1/2025,Cinépolis Sendero Saltillo,Tradicional,1,80,4170
3/1/2025,Cinépolis Paseo Villalta,Tradicional,3,240,5499
3/1/2025,Cinépolis Sendero Saltillo Sur,Tradicional,1,80,2648
3/1/2025,Cinépolis VIP Paseo Villalta,VIP,4,656,9445
3/1/2025,Cinépolis Paseo Villalta,Tradicional,1,80,1098
3/1/2025,Cinépolis Sendero Saltillo,Tradicional,5,400,3961
3/1/2025,Cinépolis Sendero Saltillo Sur,Tradicional,2,160,3869
3/1/2025,Cinépolis Paseo Villalta,Tradicional,5,400,9352
3/1/2025,Cinépolis VIP Paseo Villalta,VIP,1,164,5493
3/1/2025,Cinépolis La Nogalera,Tradicional,4,320,7015
3/1/2025,Cinépolis Paseo Villalta,Tradicional,1,80,5735
3/1/2025,Cinépolis Sendero Saltillo,Tradicional,4,320,9050
3/1/2025,Cinépolis Sendero Saltillo Sur,Tradicional,5,400,9754
3/1/2025,Cinépolis Sendero Saltillo Sur,Tradicional,3,240,1225
3/1/2025,Cinépolis La Nogalera,Tradicional,1,80,8022
3/1/2025,Cinépolis Sendero Saltillo,Tradicional,5,400,8996
3/1/2025,Cinépolis Paseo Villalta,Tradicional,4,320,5642
3/1/2025,Cinépolis Sendero Saltillo,Tradicional,1,80,8339
3/1/2025,Cinépolis VIP Paseo Villalta,VIP,5,820,2069
3/1/2025,Cinépolis La Nogalera,Tradicional,3,240,2060
3/2/2025,Cinépolis La Nogalera,Tradicional,1,80,1301
3/2/2025,Cinépolis La Nogalera,Tradicional,3,240,1699
3/2/2025,Cinépolis Sendero Saltillo,Tradicional,4,320,1190
3/2/2025,Cinépolis La Nogalera,Tradicional,5,400,3975
3/2/2025,Cinépolis Sendero Saltillo,Tradicional,3,240,9319
3/2/2025,Cinépolis VIP Sendero Saltillo,VIP,1,164,6854
3/2/2025,Cinépolis Sendero Saltillo Sur,Tradicional,2,160,6442
3/2/2025,Cinépolis Sendero Saltillo Sur,Tradicional,2,160,8455
3/2/2025,Cinépolis Sendero Saltillo Sur,Tradicional,2,160,8806
3/2/2025,Cinépolis Paseo Villalta,Tradicional,2,160,2409
3/2/2025,Cinépolis VIP Sendero Saltillo,VIP,1,164,9096
3/2/2025,Cinépolis Sendero Saltillo,Tradicional,3,240,8343
3/2/2025,Cinépolis La Nogalera,Tradicional,2,160,3806
3/2/2025,Cinépolis VIP Sendero Saltillo,VIP,3,492,2841
3/2/2025,Cinépolis Sendero Saltillo,Tradicional,5,400,7971
3/2/2025,Cinépolis VIP Sendero Saltillo,VIP,1,164,5780
3/2/2025,Cinépolis VIP Paseo Villalta,VIP,1,164,7655
3/2/2025,Cinépolis Sendero Saltillo Sur,Tradicional,4,320,7002
3/2/2025,Cinépolis VIP Paseo Villalta,VIP,2,328,6919
3/2/2025,Cinépolis Sendero Saltillo Sur,Tradicional,3,240,4769
3/2/2025,Cinépolis Sendero Saltillo Sur,Tradicional,5,400,7293
3/2/2025,Cinépolis VIP Sendero Saltillo,VIP,2,328,8509
3/2/2025,Cinépolis Sendero Saltillo,Tradicional,4,320,5777
3/2/2025,Cinépolis Sendero Saltillo Sur,Tradicional,3,240,3491
3/2/2025,Cinépolis La Nogalera,Tradicional,1,80,4124
3/2/2025,Cinépolis VIP Paseo Villalta,VIP,4,656,1004
3/2/2025,Cinépolis VIP Paseo Villalta,VIP,5,820,8027
3/2/2025,Cinépolis Sendero Saltillo Sur,Tradicional,3,240,7966
3/2/2025,Cinépolis VIP Paseo Villalta,VIP,5,820,5465
3/2/2025,Cinépolis VIP Paseo Villalta,VIP,2,328,2693
3/2/2025,Cinépolis Paseo Villalta,Tradicional,1,80,9311
3/2/2025,Cinépolis Paseo Villalta,Tradicional,4,320,6177
3/2/2025,Cinépolis VIP Sendero Saltillo,VIP,5,820,9308
3/2/2025,Cinépolis Sendero Saltillo Sur,Tradicional,1,80,2931
3/2/2025,Cinépolis La Nogalera,Tradicional,1,80,2081
3/2/2025,Cinépolis VIP Sendero Saltillo,VIP,1,164,8805
3/2/2025,Cinépolis Sendero Saltillo Sur,Tradicional,1,80,8404
3/2/2025,Cinépolis La Nogalera,Tradicional,1,80,4343
3/2/2025,Cinépolis La Nogalera,Tradicional,5,400,8004
3/2/2025,Cinépolis Paseo Villalta,Tradicional,4,320,5249
3/2/2025,Cinépolis Paseo Villalta,Tradicional,5,400,8253
3/2/2025,Cinépolis Sendero Saltillo,Tradicional,5,400,6188
3/2/2025,Cinépolis Sendero Saltillo,Tradicional,4,320,7617
3/2/2025,Cinépolis La Nogalera,Tradicional,4,320,8421
3/2/2025,Cinépolis Sendero Saltillo Sur,Tradicional,5,400,6881
3/2/2025,Cinépolis VIP Sendero Saltillo,VIP,5,820,3849
3/2/2025,Cinépolis VIP Paseo Villalta,VIP,2,328,7905
3/2/2025,Cinépolis Paseo Villalta,Tradicional,2,160,5611
3/2/2025,Cinépolis VIP Sendero Saltillo,VIP,1,164,7303
3/2/2025,Cinépolis Paseo Villalta,Tradicional,4,320,2687
3/2/2025,Cinépolis VIP Paseo Villalta,VIP,2,328,3427
3/2/2025,Cinépolis Sendero Saltillo,Tradicional,1,80,6052
3/2/2025,Cinépolis Paseo Villalta,Tradicional,3,240,6732
3/2/2025,Cinépolis VIP Paseo Villalta,VIP,3,492,6536
3/2/2025,Cinépolis VIP Sendero Saltillo,VIP,3,492,8723
3/2/2025,Cinépolis La Nogalera,Tradicional,5,400,5107
3/2/2025,Cinépolis Sendero Saltillo Sur,Tradicional,2,160,9945
3/2/2025,Cinépolis Paseo Villalta,Tradicional,1,80,9967
3/2/2025,Cinépolis La Nogalera,Tradicional,2,160,1417
3/2/2025,Cinépolis Paseo Villalta,Tradicional,1,80,4974
3/2/2025,Cinépolis VIP Paseo Villalta,VIP,2,328,8668
3/2/2025,Cinépolis VIP Sendero Saltillo,VIP,5,820,1412
3/2/2025,Cinépolis VIP Paseo Villalta,VIP,1,164,8164
3/2/2025,Cinépolis Sendero Saltillo,Tradicional,4,320,6988
3/2/2025,Cinépolis Sendero Saltillo,Tradicional,3,240,2122
3/2/2025,Cinépolis VIP Paseo Villalta,VIP,2,328,6104
3/2/2025,Cinépolis Sendero Saltillo Sur,Tradicional,5,400,4440
3/2/2025,Cinépolis La Nogalera,Tradicional,1,80,3914
3/2/2025,Cinépolis Sendero Saltillo,Tradicional,1,80,9787
3/2/2025,Cinépolis Sendero Saltillo,Tradicional,5,400,1698
3/2/2025,Cinépolis Paseo Villalta,Tradicional,1,80,1395
3/2/2025,Cinépolis La Nogalera,Tradicional,1,80,9082
3/2/2025,Cinépolis VIP Paseo Villalta,VIP,1,164,3502
3/3/2025,Cinépolis Sendero Saltillo Sur,Tradicional,4,320,5946
3/3/2025,Cinépolis VIP Sendero Saltillo,VIP,5,820,8266
3/3/2025,Cinépolis VIP Paseo Villalta,VIP,1,164,6588
3/3/2025,Cinépolis VIP Paseo Villalta,VIP,5,820,2167
3/3/2025,Cinépolis Sendero Saltillo,Tradicional,5,400,8860
3/3/2025,Cinépolis VIP Sendero Saltillo,VIP,2,328,7541
3/3/2025,Cinépolis VIP Sendero Saltillo,VIP,5,820,8330
3/3/2025,Cinépolis La Nogalera,Tradicional,3,240,9010
3/3/2025,Cinépolis VIP Sendero Saltillo,VIP,4,656,8241
3/3/2025,Cinépolis VIP Sendero Saltillo,VIP,4,656,8056
3/3/2025,Cinépolis La Nogalera,Tradicional,5,400,2191
3/3/2025,Cinépolis VIP Sendero Saltillo,VIP,1,164,7938
3/3/2025,Cinépolis VIP Sendero Saltillo,VIP,2,328,2540
3/3/2025,Cinépolis La Nogalera,Tradicional,5,400,6541
3/3/2025,Cinépolis Paseo Villalta,Tradicional,5,400,2365
3/3/2025,Cinépolis VIP Paseo Villalta,VIP,1,164,9702
3/3/2025,Cinépolis Sendero Saltillo,Tradicional,5,400,4141
3/3/2025,Cinépolis VIP Paseo Villalta,VIP,3,492,7588
3/3/2025,Cinépolis VIP Paseo Villalta,VIP,3,492,9905
3/3/2025,Cinépolis VIP Sendero Saltillo,VIP,3,492,5268
3/3/2025,Cinépolis La Nogalera,Tradicional,2,160,4709
3/3/2025,Cinépolis VIP Sendero Saltillo,VIP,4,656,7619
3/3/2025,Cinépolis La Nogalera,Tradicional,1,80,4072
3/3/2025,Cinépolis Paseo Villalta,Tradicional,5,400,1504
3/3/2025,Cinépolis VIP Paseo Villalta,VIP,1,164,8576
3/3/2025,Cinépolis Sendero Saltillo,Tradicional,5,400,1133
3/3/2025,Cinépolis VIP Sendero Saltillo,VIP,4,656,7316
3/3/2025,Cinépolis La Nogalera,Tradicional,5,400,5175
3/3/2025,Cinépolis Sendero Saltillo Sur,Tradicional,5,400,6348
3/3/2025,Cinépolis VIP Paseo Villalta,VIP,3,492,7190
3/3/2025,Cinépolis Sendero Saltillo,Tradicional,1,80,6645
3/3/2025,Cinépolis Sendero Saltillo,Tradicional,5,400,9053
3/3/2025,Cinépolis Paseo Villalta,Tradicional,1,80,8114
3/3/2025,Cinépolis VIP Paseo Villalta,VIP,2,328,6063
3/3/2025,Cinépolis Sendero Saltillo Sur,Tradicional,4,320,8575
3/3/2025,Cinépolis VIP Paseo Villalta,VIP,5,820,7819
3/3/2025,Cinépolis VIP Sendero Saltillo,VIP,2,328,8483
3/3/2025,Cinépolis VIP Sendero Saltillo,VIP,4,656,5964
3/3/2025,Cinépolis Sendero Saltillo,Tradicional,4,320,4775
3/3/2025,Cinépolis Paseo Villalta,Tradicional,1,80,6320
3/3/2025,Cinépolis Sendero Saltillo,Tradicional,5,400,8891
3/3/2025,Cinépolis La Nogalera,Tradicional,4,320,1924
3/3/2025,Cinépolis La Nogalera,Tradicional,3,240,4324
3/3/2025,Cinépolis Sendero Saltillo Sur,Tradicional,2,160,8026
3/3/2025,Cinépolis La Nogalera,Tradicional,1,80,1009
3/3/2025,Cinépolis Sendero Saltillo Sur,Tradicional,2,160,8418
3/3/2025,Cinépolis La Nogalera,Tradicional,5,400,2015
3/3/2025,Cinépolis Sendero Saltillo,Tradicional,1,80,3193
3/3/2025,Cinépolis Sendero Saltillo,Tradicional,3,240,8449
3/3/2025,Cinépolis Sendero Saltillo,Tradicional,3,240,7938
3/3/2025,Cinépolis Sendero Saltillo,Tradicional,5,400,5000
3/3/2025,Cinépolis VIP Sendero Saltillo,VIP,1,164,8266
3/3/2025,Cinépolis Sendero Saltillo,Tradicional,5,400,9175
3/3/2025,Cinépolis Sendero Saltillo Sur,Tradicional,4,320,3000
3/3/2025,Cinépolis La Nogalera,Tradicional,5,400,6989
3/3/2025,Cinépolis Paseo Villalta,Tradicional,5,400,8190
3/3/2025,Cinépolis La Nogalera,Tradicional,5,400,5809
3/3/2025,Cinépolis VIP Sendero Saltillo,VIP,3,492,8245
3/3/2025,Cinépolis Sendero Saltillo,Tradicional,1,80,5780
3/3/2025,Cinépolis La Nogalera,Tradicional,4,320,6565
3/3/2025,Cinépolis Sendero Saltillo,Tradicional,1,80,4419
3/3/2025,Cinépolis VIP Sendero Saltillo,VIP,2,328,9865
3/3/2025,Cinépolis Sendero Saltillo Sur,Tradicional,3,240,5363
3/3/2025,Cinépolis Sendero Saltillo,Tradicional,4,320,9580
3/3/2025,Cinépolis Sendero Saltillo Sur,Tradicional,3,240,7544
3/3/2025,Cinépolis La Nogalera,Tradicional,5,400,5673
3/3/2025,Cinépolis Paseo Villalta,Tradicional,3,240,7881
3/3/2025,Cinépolis Sendero Saltillo Sur,Tradicional,2,160,7241
3/3/2025,Cinépolis VIP Sendero Saltillo,VIP,3,492,2331
3/3/2025,Cinépolis Sendero Saltillo,Tradicional,1,80,6115
3/3/2025,Cinépolis Sendero Saltillo Sur,Tradicional,2,160,8730
3/3/2025,Cinépolis Sendero Saltillo,Tradicional,5,400,5892
3/3/2025,Cinépolis VIP Paseo Villalta,VIP,2,328,7327
3/3/2025,Cinépolis Sendero Saltillo,Tradicional,2,160,3832
3/3/2025,Cinépolis VIP Paseo Villalta,VIP,4,656,5164
3/3/2025,Cinépolis VIP Sendero Saltillo,VIP,5,820,6569
3/3/2025,Cinépolis La Nogalera,Tradicional,3,240,2906
3/4/2025,Cinépolis Paseo Villalta,Tradicional,4,320,9472
3/4/2025,Cinépolis Paseo Villalta,Tradicional,3,240,1666
3/4/2025,Cinépolis La Nogalera,Tradicional,2,160,7777
3/4/2025,Cinépolis Paseo Villalta,Tradicional,3,240,8956
3/4/2025,Cinépolis La Nogalera,Tradicional,2,160,5777
3/4/2025,Cinépolis La Nogalera,Tradicional,5,400,7981
3/4/2025,Cinépolis Sendero Saltillo,Tradicional,5,400,7376
3/4/2025,Cinépolis VIP Paseo Villalta,VIP,2,328,3593
3/4/2025,Cinépolis Sendero Saltillo,Tradicional,2,160,8240
3/4/2025,Cinépolis VIP Sendero Saltillo,VIP,1,164,7190
3/4/2025,Cinépolis Sendero Saltillo,Tradicional,3,240,3878
3/4/2025,Cinépolis La Nogalera,Tradicional,1,80,2276
3/4/2025,Cinépolis VIP Paseo Villalta,VIP,2,328,9150
3/4/2025,Cinépolis Sendero Saltillo Sur,Tradicional,2,160,1364
3/4/2025,Cinépolis VIP Sendero Saltillo,VIP,3,492,6126
3/4/2025,Cinépolis Paseo Villalta,Tradicional,3,240,6870
3/4/2025,Cinépolis VIP Paseo Villalta,VIP,5,820,4345
3/4/2025,Cinépolis VIP Sendero Saltillo,VIP,3,492,2906
3/4/2025,Cinépolis Sendero Saltillo,Tradicional,5,400,9905
3/4/2025,Cinépolis Sendero Saltillo,Tradicional,1,80,7229
3/4/2025,Cinépolis VIP Sendero Saltillo,VIP,4,656,5632
3/4/2025,Cinépolis Sendero Saltillo,Tradicional,5,400,7168
3/4/2025,Cinépolis VIP Paseo Villalta,VIP,2,328,9258
3/4/2025,Cinépolis Sendero Saltillo,Tradicional,5,400,7371
3/4/2025,Cinépolis Sendero Saltillo Sur,Tradicional,2,160,8943
3/4/2025,Cinépolis Sendero Saltillo,Tradicional,4,320,7738
3/4/2025,Cinépolis VIP Sendero Saltillo,VIP,1,164,3739
3/4/2025,Cinépolis VIP Sendero Saltillo,VIP,2,328,1876
3/4/2025,Cinépolis Sendero Saltillo Sur,Tradicional,5,400,2460
3/4/2025,Cinépolis Sendero Saltillo Sur,Tradicional,5,400,2733
3/4/2025,Cinépolis Sendero Saltillo Sur,Tradicional,4,320,7986
3/4/2025,Cinépolis Sendero Saltillo Sur,Tradicional,1,80,9434
3/4/2025,Cinépolis La Nogalera,Tradicional,4,320,6342
3/4/2025,Cinépolis Sendero Saltillo Sur,Tradicional,2,160,9659
3/4/2025,Cinépolis VIP Paseo Villalta,VIP,3,492,9195
3/4/2025,Cinépolis Sendero Saltillo Sur,Tradicional,1,80,3551
3/4/2025,Cinépolis Sendero Saltillo Sur,Tradicional,3,240,6560
3/4/2025,Cinépolis VIP Sendero Saltillo,VIP,3,492,7316
3/4/2025,Cinépolis VIP Paseo Villalta,VIP,5,820,7469
3/4/2025,Cinépolis VIP Sendero Saltillo,VIP,4,656,9915
3/4/2025,Cinépolis Sendero Saltillo,Tradicional,4,320,5208
3/4/2025,Cinépolis VIP Paseo Villalta,VIP,1,164,7233
3/4/2025,Cinépolis Sendero Saltillo Sur,Tradicional,5,400,2917
3/4/2025,Cinépolis Paseo Villalta,Tradicional,4,320,7988
3/4/2025,Cinépolis Paseo Villalta,Tradicional,3,240,4744
3/4/2025,Cinépolis Sendero Saltillo Sur,Tradicional,2,160,1009
3/4/2025,Cinépolis La Nogalera,Tradicional,2,160,3219
3/4/2025,Cinépolis VIP Sendero Saltillo,VIP,5,820,6287
3/4/2025,Cinépolis VIP Sendero Saltillo,VIP,4,656,9512
3/4/2025,Cinépolis La Nogalera,Tradicional,1,80,3832
3/4/2025,Cinépolis Sendero Saltillo,Tradicional,3,240,4490
3/4/2025,Cinépolis Sendero Saltillo Sur,Tradicional,1,80,2604
3/4/2025,Cinépolis Sendero Saltillo Sur,Tradicional,4,320,1235
3/4/2025,Cinépolis VIP Sendero Saltillo,VIP,5,820,9567
3/4/2025,Cinépolis Paseo Villalta,Tradicional,1,80,3635
3/4/2025,Cinépolis Paseo Villalta,Tradicional,3,240,3560
3/4/2025,Cinépolis Sendero Saltillo Sur,Tradicional,4,320,6951
3/4/2025,Cinépolis La Nogalera,Tradicional,3,240,7413
3/4/2025,Cinépolis VIP Paseo Villalta,VIP,3,492,5820
3/4/2025,Cinépolis La Nogalera,Tradicional,5,400,3898
3/4/2025,Cinépolis Paseo Villalta,Tradicional,2,160,5227
3/4/2025,Cinépolis Sendero Saltillo,Tradicional,5,400,2065
3/4/2025,Cinépolis Sendero Saltillo,Tradicional,2,160,7943
3/4/2025,Cinépolis Paseo Villalta,Tradicional,5,400,7565
3/4/2025,Cinépolis Sendero Saltillo,Tradicional,1,80,3712
3/4/2025,Cinépolis Sendero Saltillo,Tradicional,1,80,5033
3/4/2025,Cinépolis Sendero Saltillo Sur,Tradicional,5,400,4687
3/4/2025,Cinépolis Paseo Villalta,Tradicional,3,240,9389
3/4/2025,Cinépolis Sendero Saltillo Sur,Tradicional,3,240,2202
3/4/2025,Cinépolis VIP Sendero Saltillo,VIP,4,656,6742
3/4/2025,Cinépolis La Nogalera,Tradicional,1,80,9669
3/4/2025,Cinépolis Paseo Villalta,Tradicional,4,320,3204
3/5/2025,Cinépolis Sendero Saltillo,Tradicional,1,80,1950
3/5/2025,Cinépolis Sendero Saltillo,Tradicional,4,320,3645
3/5/2025,Cinépolis VIP Sendero Saltillo,VIP,2,328,5612
3/5/2025,Cinépolis Paseo Villalta,Tradicional,2,160,7028
3/5/2025,Cinépolis VIP Paseo Villalta,VIP,5,820,7359
3/5/2025,Cinépolis VIP Paseo Villalta,VIP,5,820,4719
3/5/2025,Cinépolis La Nogalera,Tradicional,5,400,3371
3/5/2025,Cinépolis VIP Paseo Villalta,VIP,5,820,5225
3/5/2025,Cinépolis Paseo Villalta,Tradicional,3,240,7898
3/5/2025,Cinépolis VIP Paseo Villalta,VIP,4,656,1793
3/5/2025,Cinépolis Paseo Villalta,Tradicional,3,240,3116
3/5/2025,Cinépolis VIP Paseo Villalta,VIP,3,492,7166
3/5/2025,Cinépolis VIP Sendero Saltillo,VIP,3,492,3443
3/5/2025,Cinépolis VIP Sendero Saltillo,VIP,5,820,8783
3/5/2025,Cinépolis Sendero Saltillo Sur,Tradicional,2,160,1984
3/5/2025,Cinépolis Sendero Saltillo,Tradicional,4,320,4531
3/5/2025,Cinépolis VIP Paseo Villalta,VIP,4,656,4876
3/5/2025,Cinépolis VIP Sendero Saltillo,VIP,1,164,9795
3/5/2025,Cinépolis VIP Sendero Saltillo,VIP,1,164,6109
3/5/2025,Cinépolis Paseo Villalta,Tradicional,5,400,4368
3/5/2025,Cinépolis Sendero Saltillo Sur,Tradicional,3,240,2792
3/5/2025,Cinépolis Sendero Saltillo Sur,Tradicional,5,400,4476
3/5/2025,Cinépolis VIP Sendero Saltillo,VIP,4,656,4030
3/5/2025,Cinépolis Sendero Saltillo,Tradicional,1,80,2854
3/5/2025,Cinépolis Sendero Saltillo Sur,Tradicional,3,240,6031
3/5/2025,Cinépolis La Nogalera,Tradicional,1,80,9393
3/5/2025,Cinépolis VIP Paseo Villalta,VIP,1,164,5212
3/5/2025,Cinépolis VIP Sendero Saltillo,VIP,1,164,8970
3/5/2025,Cinépolis VIP Paseo Villalta,VIP,1,164,2625
3/5/2025,Cinépolis Paseo Villalta,Tradicional,2,160,9070
3/5/2025,Cinépolis VIP Sendero Saltillo,VIP,3,492,9609
3/5/2025,Cinépolis Paseo Villalta,Tradicional,1,80,7783
3/5/2025,Cinépolis Paseo Villalta,Tradicional,3,240,5971
3/5/2025,Cinépolis Paseo Villalta,Tradicional,3,240,2205
3/5/2025,Cinépolis Sendero Saltillo,Tradicional,4,320,4572
3/5/2025,Cinépolis Sendero Saltillo,Tradicional,1,80,5380
3/5/2025,Cinépolis Paseo Villalta,Tradicional,2,160,6588
3/5/2025,Cinépolis Sendero Saltillo,Tradicional,1,80,4432
3/5/2025,Cinépolis Sendero Saltillo,Tradicional,4,320,4701
3/5/2025,Cinépolis Sendero Saltillo Sur,Tradicional,4,320,6182
3/5/2025,Cinépolis La Nogalera,Tradicional,1,80,5422
3/5/2025,Cinépolis Sendero Saltillo,Tradicional,5,400,3482
3/5/2025,Cinépolis Paseo Villalta,Tradicional,3,240,3079
3/5/2025,Cinépolis Sendero Saltillo Sur,Tradicional,5,400,5524
3/5/2025,Cinépolis La Nogalera,Tradicional,3,240,3065
3/5/2025,Cinépolis Sendero Saltillo,Tradicional,3,240,7645
3/5/2025,Cinépolis VIP Paseo Villalta,VIP,1,164,6797
3/5/2025,Cinépolis Paseo Villalta,Tradicional,4,320,7016
3/5/2025,Cinépolis La Nogalera,Tradicional,3,240,5873
3/5/2025,Cinépolis VIP Sendero Saltillo,VIP,3,492,7305
3/5/2025,Cinépolis VIP Paseo Villalta,VIP,1,164,1054
3/5/2025,Cinépolis VIP Paseo Villalta,VIP,2,328,4462
3/5/2025,Cinépolis La Nogalera,Tradicional,1,80,6954
3/5/2025,Cinépolis Paseo Villalta,Tradicional,5,400,9519
3/5/2025,Cinépolis Sendero Saltillo Sur,Tradicional,1,80,4310
3/5/2025,Cinépolis La Nogalera,Tradicional,3,240,8218
3/5/2025,Cinépolis Sendero Saltillo,Tradicional,4,320,4054
3/5/2025,Cinépolis VIP Sendero Saltillo,VIP,3,492,3143
3/5/2025,Cinépolis Sendero Saltillo Sur,Tradicional,3,240,5547
3/5/2025,Cinépolis VIP Paseo Villalta,VIP,5,820,7612
3/5/2025,Cinépolis Sendero Saltillo Sur,Tradicional,2,160,7150
3/5/2025,Cinépolis VIP Sendero Saltillo,VIP,1,164,3198
